Stock,Country,Gear Type,2007,S_2007,2008,S_2008,2009,S_2009
Pacific bluefin tuna Global,Japan,Trolling lines,2385,,2074,,1875,
Pacific bluefin tuna Global,"Korea, Republic of",Purse seines,1281,,1866,,936,
Pacific bluefin tuna Global,Taiwan Province of China,Gear not known,10,,2,,11,
Pacific bluefin tuna Global,Taiwan Province of China,Longlines (nei),1401,,979,,877,
Pacific bluefin tuna Global,New Zealand,Gear not known,21,,21,,0,-
Skipjack tuna Global,Cabo Verde,Gear not known,0,-,0,-,171,
Skipjack tuna Global,Cabo Verde,Mechanized lines and pole-and-lines,0,-,76,,100,
Skipjack tuna Global,Cabo Verde,Purse seines,6026,,5934,,4495,
Skipjack tuna Global,Comoros,Gear not known,73,,97,,97,
Skipjack tuna Global,Comoros,Trolling lines,3327,,4435,,4435,
Skipjack tuna Global,Côte d'Ivoire,Gear not known,1817,,2328,,2840,
Skipjack tuna Global,Equatorial Guinea,Gear not known,0,-,0,-,1224,
Skipjack tuna Global,Ghana,Mechanized lines and pole-and-lines,11665,,25511,,18155,
Skipjack tuna Global,Ghana,Purse seines,22907,,11876,,17909,
Skipjack tuna Global,Guinea,Longlines (nei),1,,0,-,0,-
Skipjack tuna Global,Kenya,Gear not known,0,-,3,,1,
Skipjack tuna Global,Madagascar,Trolling lines,957,,936,,1021,
Skipjack tuna Global,Mauritius,Gear not known,11,,10,,13,
Skipjack tuna Global,Morocco,Gear not known,251,,206,,427,
Skipjack tuna Global,Morocco,Longlines (nei),1210,,995,,1499,
Skipjack tuna Global,Morocco,Purse seines,131,,108,,654,
Skipjack tuna Global,Namibia,Mechanized lines and pole-and-lines,0,-,0,-,71,
Skipjack tuna Global,Saint Helena,Gear not known,110,,45,,15,
Skipjack tuna Global,Sao Tome and Principe,Gear not known,0,-,14,,9,
Skipjack tuna Global,Sao Tome and Principe,Purse seines,0,-,215,,226,
Skipjack tuna Global,Senegal,Gear not known,0,-,0,-,2,
Skipjack tuna Global,Senegal,Mechanized lines and pole-and-lines,2278,,3661,,4513,
Skipjack tuna Global,Senegal,Trolling lines,0,-,0,-,58,
Skipjack tuna Global,Seychelles,Purse seines,29727,,30036,,40156,
Skipjack tuna Global,South Africa,Gear not known,0,-,4,,1,
Skipjack tuna Global,South Africa,Mechanized lines and pole-and-lines,0,-,0,-,4,
Skipjack tuna Global,"Tanzania, United Rep. of",Longlines (nei),1,,0,-,0,-
Skipjack tuna Global,Belize,Longlines (nei),11,,0,-,0,-
Skipjack tuna Global,Bermuda,Gear not known,0,-,0,-,1,
Skipjack tuna Global,Brazil,Gear not known,1038,,85,,752,
Skipjack tuna Global,Brazil,Longlines (nei),0,-,0,-,2,
Skipjack tuna Global,Brazil,Mechanized lines and pole-and-lines,22750,,20547,,22329,
Skipjack tuna Global,Brazil,Purse seines,403,,213,,223,
Skipjack tuna Global,Dominica,Gear not known,1,,29,,7,
